Query Number,Time,SQLStatement

388, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=194, 

390, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=195, 

392, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=196, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

384, 0.00129725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=192, 

386, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=193, 

388, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=194, 

390, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=195, 

392, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=196, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

386, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=193, 

388, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=194, 

390, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=195, 

392, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=196, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

388, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=194, 

390, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=195, 

392, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=196, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

390, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=195, 

392, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=196, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

392, 0.00133325, SELECT itemID FROM dataminingdb.itemsets WHERE transId=196, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

394, 0.00131775, SELECT itemID FROM dataminingdb.itemsets WHERE transId=197, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

396, 0.00131525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=198, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

398, 0.0013, SELECT itemID FROM dataminingdb.itemsets WHERE transId=199, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

400, 0.0013255, SELECT itemID FROM dataminingdb.itemsets WHERE transId=200, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

402, 0.001303, SELECT itemID FROM dataminingdb.itemsets WHERE transId=201, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

404, 0.00136525, SELECT itemID FROM dataminingdb.itemsets WHERE transId=202, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

406, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=203, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

408, 0.00131475, SELECT itemID FROM dataminingdb.itemsets WHERE transId=204, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

410, 0.0013045, SELECT itemID FROM dataminingdb.itemsets WHERE transId=205, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

412, 0.0013035, SELECT itemID FROM dataminingdb.itemsets WHERE transId=206, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

414, 0.001321, SELECT itemID FROM dataminingdb.itemsets WHERE transId=207, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

416, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=208, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

418, 0.00131125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=209, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

420, 0.001306, SELECT itemID FROM dataminingdb.itemsets WHERE transId=210, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

422, 0.00137975, SELECT itemID FROM dataminingdb.itemsets WHERE transId=211, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

424, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=212, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

426, 0.001323, SELECT itemID FROM dataminingdb.itemsets WHERE transId=213, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

428, 0.001329, SELECT itemID FROM dataminingdb.itemsets WHERE transId=214, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

430, 0.00130675, SELECT itemID FROM dataminingdb.itemsets WHERE transId=215, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

432, 0.00131375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=216, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

434, 0.0013055, SELECT itemID FROM dataminingdb.itemsets WHERE transId=217, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

436, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=218, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

438, 0.001308, SELECT itemID FROM dataminingdb.itemsets WHERE transId=219, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

440, 0.00132375, SELECT itemID FROM dataminingdb.itemsets WHERE transId=220, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

442, 0.00129825, SELECT itemID FROM dataminingdb.itemsets WHERE transId=221, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

444, 0.0013025, SELECT itemID FROM dataminingdb.itemsets WHERE transId=222, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

446, 0.001301, SELECT itemID FROM dataminingdb.itemsets WHERE transId=223, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

448, 0.001297, SELECT itemID FROM dataminingdb.itemsets WHERE transId=224, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

450, 0.00131175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=225, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

452, 0.00131725, SELECT itemID FROM dataminingdb.itemsets WHERE transId=226, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

454, 0.00130175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=227, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

456, 0.0013065, SELECT itemID FROM dataminingdb.itemsets WHERE transId=228, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

470, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=235, 

458, 0.00130275, SELECT itemID FROM dataminingdb.itemsets WHERE transId=229, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

470, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=235, 

472, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=236, 

460, 0.001304, SELECT itemID FROM dataminingdb.itemsets WHERE transId=230, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

470, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=235, 

472, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=236, 

474, 0.00132575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=237, 

462, 0.0013175, SELECT itemID FROM dataminingdb.itemsets WHERE transId=231, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

470, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=235, 

472, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=236, 

474, 0.00132575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=237, 

476, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=238, 

464, 0.001314, SELECT itemID FROM dataminingdb.itemsets WHERE transId=232, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

470, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=235, 

472, 0.00130125, SELECT itemID FROM dataminingdb.itemsets WHERE transId=236, 

474, 0.00132575, SELECT itemID FROM dataminingdb.itemsets WHERE transId=237, 

476, 0.001299, SELECT itemID FROM dataminingdb.itemsets WHERE transId=238, 

478, 0.001322, SELECT itemID FROM dataminingdb.itemsets WHERE transId=239, 

466, 0.00132, SELECT itemID FROM dataminingdb.itemsets WHERE transId=233, 

468, 0.0013075, SELECT itemID FROM dataminingdb.itemsets WHERE transId=234, 

